PDF Path,Text
16.pdf,"ID/OIOS requested DRA logistics officer 2 to review each individual bid and to explain his/her annotations. DRA logistics officer 2 pointed out that Vendor 4, Vendor 5 and Vendor 6 had offered virtually the same technical device. He/she found out that the “Gotive H41 IB” model offered by Vendor 6 did not substantially differ from the “Gotive H41” model offered by Vendor 4 and Vendor 5. DRA logistics officer 2 stated that the “Gotive H41” model complied with all the requirements laid out in the technical specifications and pointed out that this device was very well protected against environmental impact, notably in the field. According to DRA logistics officer 2, the PDA model offered by Vendor 1 was not a rugged PDA; it did not comply with the IP54 protection standards essential for outdoor use. At first glance, Vendor 1 appeared to be the lowest bidder, because they offered the largest number of PDAs for the stated price ceiling. However, the product did not comply with the technical specifications and hence would be inappropriate for use by KVS veterinarians. As such, the members of the evaluation panel did not short-list Vendor 1 for further examination."
16.pdf,"In terms of the priority selection criteria of the evaluation panel, DRA logistics officer 2 stated that the DRA had advised them to monitor not only the technical specifications but to focus particularly on Section VII of the Bidding Documents “Obligatory Requirements to be fulfilled by the bidders.” DRA logistics officer 2 highlighted the criteria of after-warranty repair service located within Kosovo and repair or replacement within five working days (based on the existing regulations in Kosovo as to notification, registration and recording of information concerning movement of animals within five days of the movement). Therefore, if a PDA device used for the communication of such data broke down and was not replaced within a week, farmers and veterinarians would run the risk of not complying with the law."
16.pdf,"In order to find out why the lowest bidder, Vendor 1, was still not selected, ID/OIOS spoke separately with two members of the bid evaluation panel who explained the evaluation process and why the panel recommended the selected bidder, Vendor 4. ID/OIOS was told that the evaluation panel examined the bid documents submitted by the six pre-qualified bidders and made comments and annotations on the table provided to them by the DRA logistics officer. The evaluation panel relied heavily on the technical expertise of one panel member, DRA logistics officer 2, who was responsible for the evaluation of the technical features of the PDAs offered. DRA logistics officer 2 told ID/OIOS that his/her handwritten entries on the table were based on the discussions of the entire evaluation panel, but that he/she independently verified that the product offered by each bidder did possess the declared features and that he/she checked the technical data submitted by the individual bidders with the product datasheet and brochures included in the bidding documents."
16.pdf,"The complainant raised two main issues: firstly, that the bid submitted by Vendor 1, was the lowest bid because it offered the most number of devices within the ceiling price. Secondly, although two other bidders offered the same product as the winning bidder, but at a lower price, they had not been selected. The PRIO preliminary report also identified these issues. ID/OIOS Investigators reviewed all eight bids submitted and noted that DRA logistics officer 1 had disqualified two, Vendor 2 and Vendor 3, because neither the Vendor 2 nor the Vendor 3 bid was substantially responsive in that the total price of the product offered exceeded the price ceiling of €135,000. During his/her pre-qualification of bids, DRA logistics officer 1 noted that Vendor 2 did not include taxes “CIP” Pristina Kosovo as required in the bid document, meaning the total price would exceed the ceiling of €135,000 by more than €17,000; and Vendor 3’s total offer did not include its yearly €16,500 maintenance surcharge fee, causing its bid to exceed the stated price ceiling by more than €15,000."
16.pdf,"In late 2002, the EAR consultant prepared the technical specifications for the PDAs based on the proposal in SPUVESEK’s inception report of August 2002. Based on these specifications, the DRA launched an initial tender in November 2003 for the PDAs, inclusive of both hardware and software. All bids submitted exceeded the amount set aside for the purchase of the PDAs (€170,000), therefore that tender was cancelled in February 2004 based on advice from the Central Procurement Entity (CPE). A second tender for the purchase of the required PDAs was then launched in April 2004, using the same technical specifications. For the second tender, the DRA provided the bidders with a price ceiling of €135,000 and requested that they state the number of devices in total that the company could offer within the price ceiling. On 19 May 2004, the deadline for the submission of bids, the DRA had received eight bids. As required, the bids were opened and certified by members of a bid-opening panel consisting of DRA logistics officer 1, a DRA procurement officer, DRA employee 1 and a DRA finance officer. The complainant told ID/OIOS that the bid opening process occurred without incident and in accordance with correct procedural requirements."
16.pdf,"The evidence adduced by the investigation further confirms that the PDAs offered by Vendor 1 did not conform to the technical specifications of the ITB. Although the complainant offered the largest number of PDAs within the stated ceiling price, the PDAs offered were not appropriate for the designated use as set forth in the bid documents. ID/OIOS determined that the procurement exercise was conducted in accordance with the UN Financial Rules and Regulations governing procurement and with UNMIK’s Finance Administrative Instruction 2/1999 on public procurements using KCB funds.
RECOMMENDATION Based on the above, ID/OIOS makes the following the recommendation: Recommendation 1: It is recommended that UNMIK take note of ID/OIOS’ findings and conclusions and advise DRA staff members, DRA employee 2 and DRA logistics officer 1 of the result of this investigation. (ID Rec. IV04/374/01)"
16.pdf,"An internal Pillar II review by the Policy Review and Internal Oversight Unit (PRIO) highlighted possible irregularities in its preliminary report on the procurement exercise with a recommendation for further investigation. This report was provided to ID/OIOS with a request for further investigation. Based on the issues raised in the complaint and subsequently in the PRIO Unit’s preliminary report, ID/OIOS investigated the entire tender process to determine whether any violations of UN rules had occurred.  

The Directorate of Rural Affairs (DRA) is located within UNMIK Civil Administration (Pillar II); it was formed in October 2001 out of the former Department of Agriculture in the Joint Administrative Interim Structure. The DRA comprises Veterinary Services & Veterinary Border Control, Phytosanitary Border Control and Public Forests. The DRA remains a reserved area under Security Council Resolution 1244 and the staff are United Nations staff members subject to the UN Rules and Regulations. Also, the DRA undertakes its own procurement for all  of the divisions within the DRA.  "
16.pdf,"In the preliminary PRIO report, the price estimates as stated in the EAR consultant’s inception report showed five different PDA models with integrated scanner capabilities. The prices of the PDA models shown ranged from USD $323.38 to USD $818.30. ID/OIOS adduced that the initial estimates were of regular PDAs, not the more rugged PDAs specified in the technical specifications and required for use by veterinarians working in inclement weather conditions. ID/OIOS also found that the estimates were obtained from the Internet for the inception report and did not include the features that would make it technically appropriate for the veterinarians in the field. The actual technical specifications prepared by the EAR consultant later envisaged a more rugged, durable product that would be water, dust and drop resistant. The price per unit of “rugged” PDAs, as required by the technical specifications, is higher than the initial estimate made in the inception report. ID/OIOS verified this through Internet research."
2.pdf,"The investigation conducted by the ITF clearly documented that Prishtina Airport management failed to perform their duties in accordance with the general principles outlined above. In particular, the use of the assets allocated to the ATCS by the KTA in 2002 was inadequately documented and the performance of the ATCS Finance Office in that respect was unsatisfactory. This poor performance even caused financial damage to the UNMIK Pillar 4 – KTA, as demonstrated in this report. The work of the ATCS Finance Office was under direct supervision of the ATCS Official and the oversight responsibility was in the hands of the Division Manager. Both of them in their respectful capacity failed to perform their duties according to expected standards and they failed to promote the best interest of UNMIK Pillar 4 –KTA, as their employer."
2.pdf,"Documentation obtained by the ITF from the Prishtina Airport clearly shows that ATCS management failed to introduce, or enforce, rules and regulations that would guarantee proper use of the allocated funds and provided transparent documentation of this process. A significant amount of the cash withdrawals by the ATCS was used for training opportunities for employees of the ATCS, who attended courses in a number of countries including Italy, Canada and the United Kingdom. Therefore, the cash advances were not all related to the ATCS Official’s travel, rather for a significant number of Employees. The necessity of the frequent travel of the ATCS Official remains questionable, as the available documentation does not provide clear proof that the ATCS Official’s travel was business related or justified."
2.pdf,"The ATCS Official stated that in 2002, he/she was not sufficiently experienced in financial management, therefore he/she hired Finance Officer 1 and Finance Officer 2 who both had educational background and professional experience in this field. He/she said that he/she was sure that the ATCS money was spent in line with the requests, but he/she accepted that the documentation was very poor and unacceptable, even for the minimal standards required. The ATCS Official agreed that he/she and his/her staff were diligent in requesting funds for ATCS operations, however, were generally deficient when addressing the need for proper documentation of the actual expenditures. The ATCS Official indicated that he/she trusted his/her staff; that they were professional; and it was only very recently that he/she realized that he/she should have devoted more effort to their supervision."
2.pdf,"The ATCS Official further indicated that his/her superiors approved all the bills that were in the petty cash binders, including, for example: €525,00 “Present for International Staff”; €410,00 “Present for Official 3 (Nokia 8850)”; €918,00 “Palm organizer for the ATCS Official and Official 3”; €1.176,00 “Recharging scratch cards VALA 900 (20*23.52) + (12*58.8)”; €960,00 “Payment for mobile phone” and €940,00 “Rent a car for Head of Department”. The ATCS Official stated that all the presents purchased from petty cash were also approved, however, he/she could not support this claim with any documentation. The ATCS Official added that had those bills not been authorized, the ATCS would have not been able to get further cash as the approval for further cash withdrawals was conditioned by proper documentation and certification of previous spending. He/she insisted that the sums paid for refreshments/food/restaurant bills from the petty cash fund (hundreds of Euros) were all authorized by his/her superiors, but that they did not request written justifications from him/her; the bill was allegedly sufficient proof of expenditure"
2.pdf,"The ITF interviewed the ATCS Official on two occasions and he/she acknowledged that cases 46/2002; 49/2002; 55/2002 and 59/2002 (the time period up to 30 June 2002) all show numerous irregularities. He/she studied those files in detail and concluded that all four contained sufficient information to justify the allocation of money for the planned travel of the ATCS staff, but that the documentation of the expenses was very poor. 

The ATCS Official also acknowledged that cases 01/2002; 05/2002; 06/2002; 07/2002 and 08/2002 (the time period after 01 July 2002) also showed numerous irregularities such as missing bills to prove payments, missing signatures of ATCS staff proving that they had received the per-diem, missing flight ticket and boarding passes proving that the travel was in fact executed. The ITF concluded that it is very likely that those funds were paid to the ATCS employees on per-diem or salaries, however sufficient documentation to prove those payments was not available to the ITF investigators despite numerous attempts made in order to secure such documentation. As a matter of practice, the ATCS Official was formally certifying his/her own expenses during the business trips. The ATCS Official could not provide any acceptable explanations to those irregularities"
2.pdf,"The Division Manager said that the ATCS Official would bring to him/her a request in which he/she would detail the need for cash and that when the Division Manager found the justification sufficient and in line with needs of the Airport, he/she would approve it. The ATCS Official would then be responsible for the proper use of these funds and keeping the financial records of the expenditure. In fact, the ATCS Official had to sign for the bank check before it could be cashed at the bank and therefore he/she had the cash in his/her “custody”. The Division Manager indicated that it was not possible for him/her to check every bill and invoice; therefore he /she delegated the authority for financial management to the ATCS Official."
2.pdf,"The ITF interviewed Official 1 at Prishtina Airport. He/She stated that in May 2002 he/she travelled with the ATCS Official and Official 3 to the UK in order to negotiate conditions and fine-tune the training arrangements for the ATCS staff (request 46/2002). During this mission they all received free accommodation, all meals were provided as well as transport from Shinfield Park to London upon their return. When he/she returned to Prishtina he/she was not requested to return any of the per-diem, adding that he/she knew that the ATCS Official and Official 3 also did not return any of the allocated funds (€1158)"
2.pdf,"BACKGROUND INFORMATION A review of the airport’s bank accounts and documents related to airport operations, contracts, and financial matters revealed a number of cash withdrawals from the ATCS bank account, many of them in €10.000 increments. Between July 2002 and November 2003, an amount of €642.000 was withdrawn in cash. The majority of the withdrawals were identified as being for air travel and related expenses for the then the ATCS Official; similarly for other ATCS employees; and also for the so-called ‘petty cash’ purposes. The forensic audit report of February 2003 highlighted that the ATCS Official travelled frequently and questioned whether the trips were necessary, or were approved. It was established that on 01 July 2002, the new Division Manager, Airport Sector UNMIK Pillar 4 was appointed with overall responsibility for Pristina Airport. The ATCS Official was in charge of the Department, which included day to-day management of the ATCS Finance Office. Finance Officer 1 and Finance Officer 2 were employed as ATCS Finance Officers, both of them directly supervised by the ATCS Official. It should be also mentioned that the ATCS Official, Finance Officer 1 and Finance Officer 2 were working at ATCS prior to the arrival of the Division Manager."
2.pdf,"IV. INVESTIGATIVE DETAILS
The ITF investigation was focused on the examination of two main areas; a) travel arrangements and cash expenses related to the official travel of ATCS staff and b) handling of the so-called ATCS petty cash. During this investigation the ITF Investigators:
• Reviewed existing procedures related to the cash withdrawals in 2002 and 2003 in view of establishing whether those procedures were properly followed and enforced by the management of ATCS; • Examined ATCS bank account and related records; • Examined the cash withdrawal requests, supporting documentation, and receipts including airline tickets, hotel bills, and other receipts;"
2.pdf,"The ITF investigation was focused on the examination of two main areas; a) travel arrangements and cash expenses related to the official travel of ATCS staff and b) handling of the so-called ATCS petty cash. During this investigation the ITF Investigators:
• Reviewed the so-called petty cash files and related documentation; • Cross-checked the staff details on record and their employment roles during the time period in question, including their official right to authorize cash withdrawals from ATCS bank account; • Compared signatures found on the examined documents against the signatures on the staff files; • Cross-checked specific sums against the airport “excel” cash spreadsheets and the master bank account. (Note: the “excel” spreadsheet system has been in place since mid-2002 and is used to maintain a “cashbook”); • Interviewed ATCS staff, in particular the Division Manager; the ATCS Officials; and Finance Officers 1 and 2. ITF Investigators also interviewed Official 1 at Prishtina Airport, and the Official 2 at Prishtina Airport."
2.pdf,"During the review of available documentation, the ITF investigators identified a number of problems related to the existing procedures and practices at ATCS Finance Office. Having finalized the document review they interviewed available ATCS staff that was directly involved in approving the cash withdrawals and subsequently ATCS staff that handled the cash and related documentation at the ATCS Finance Office, or that travelled on training to Italy and the United Kingdom. The ITF interviewed Finance Officer 1, working at ATCS Finance Office during the period September 2000 to December 2003. Finance Officer 1 described the procedures that were in place during 2002 and 2003 and identified Employee 1, Employee 2 and the Division Manager as “A” class signatories and Employee 3, Employee 4, Employee 5 and the ATCS Official as “B” class signatories for the UNMIK Aviation Transport and Airport Prishtina bank accounts. Those listed “A” class signatories were the only people authorized to withdraw cash from the ATCS bank accounts."
2.pdf,"With regards to performance and conduct of the employees of KTA, the following UNMIK Regulation shall apply: 

UNMIK Regulation No. 2001/27, Dated 8 October 2001- On Essential Labour Law In Kosovo - Section Termination of a Labour Contract, states the following (extract): 

Serious misconduct shall include the following: 

(a) unjustified refusal to perform the obligations set out in the labour contract; 
(b) theft, destruction, damage or unauthorized use of the employer’s assets; 
(c) disclosure of business secrets; 
(d) consumption of drugs or alcohol at work; and 
(e) behavior of such a serious nature that it would be unreasonable to expect the employment relationship to continue. 

Unsatisfactory performance shall include the following: 

(a) unjustified absence from work; and 
(b) repeated mistakes not sufficient in themselves to justify a dismissal, but which given their frequency and seriousness disrupt the normal course of the employment relationship. "
2.pdf,"The ITF interviewed Finance Officer 2, working at the ATCS Finance Office, who stated he/she has been employed by the ATCS since 01 April 2002. Finance Officer 2 provided detailed information with regard to the financial procedures and practices at the ATCS Finance Office and indicated that based on his/her previous experience in dealing with finances for a number of companies (local and international), he/she found the ATCS Finance Office to be “quite” disorganized. For example, the office did not have in place proper structures and computer software to deal with the financial issues including cash, even though the amounts of money they were processing were quite high. Finance Officer 2 allegedly tried to suggest some improvements, but the ATCS Official told him/her that it was the way the UNMIK wanted to deal with money and that he/she should follow his/her instructions. Since Finance Officer 2 was concerned that he/she might lose his/her job if he/she raised any further objections, he/she decided to work as instructed by the ATCS Official."
2.pdf,"The ITF interviewed Official 4 at the Pristina Airport. Official 4 was requested to review several files related to business travel of ATCS staff during 2002 and was shown documents: 46/2002; 49/2002; 55/2002 and 59/2002. He/She concluded that all four might contain sufficient information to justify allocation of funds for the planned travel of ATCS staff, however, none had sufficient information that would document how those allocated funds were spent. Information contained in the file 46/2002 suggests that this document might have been created after-the-fact, as had this request been submitted for approval on 25 May 2002 (as indicated), it would be impossible for the approval dates written on the document to be 21 May 2002 and 22 May 2002 respectively. Also, documents attached to request 55/2002 were printouts indicating flight reservations, but they do not prove that the travel was executed. None of the four files contained original flight tickets, boarding passes or original bills, nor do they contain sufficient proof that all the funds allocated to the travellers were provided to them by the ATCS Official, as the travellers did not sign for them. Without flight tickets and boarding passes it is not sufficiently documented that the ATCS personnel travelled on those missions."
2.pdf,"Official 4 was also requested to review the files dated after 01 July 2002, in particular files 01/2002; 05/2002; 06/2002; 07/2002 and 08/2002. Having studied those files, he/she concluded that the files revealed the same absence of required documentation as the other cases identified in paragraph 16 above. Official 4 was asked to review several files related to the so-called petty cash transactions and see whether there were any irregularities. He/She concluded that significant efforts were made by the ATCS Official to justify the cash withdrawals, however while the cash appeared to have been provided, there was very little effort to properly document how those funds were spent."
2.pdf,"ITF Investigators interviewed the Division Manager on two occasions and he/she explained that staff travel expenses were high because of the necessity to train nineteen air traffic controllers, seven meteorological forecasters and six aeronautical information service officers. All of the above staff received classroom and on-the-job training around the world and that Pristina Airport was responsible for expenses incurred. He/she said that the airport has no rules or regulations regarding travel and that there are no forms to complete requesting authorization for travel or documentation authorizing travel. The Division Manager was aware that the ATCS Official, as the supervisor of many of those who travelled, would frequently visit staff whilst undertaking their respective courses"
2.pdf,"Finance Officer 1 also confirmed that the Division Manager and the ATCS Official supervised the work of the ATCS Finance Office. He/she further indicated that whenever there was a requirement for a larger cash payment, (for example, an official travel), Finance Officer 1 or Finance Officer 2 would prepare a “request for cash withdrawal” that would be signed by the ATCS Official and subsequently assessed and approved by the Division Manager. 

Finance Officer 1 was given the opportunity to review documentation related to the travel of ATCS staff in 2002 prior to the takeover of the ATCS by UNMIK Pillar 4 – KTA on 1 July 2002. During this exercise, Finance Officer 1 established that “requests for cash” 46/2002; 49/2002; 55/2002 and 59/2002 had proper justification sufficient for the authorization of cash allocation, but all lacked documentation that would indicate how those funds were spent. Finance Officer 1 was not able to provide satisfactory explanations for the identified irregularities and had no recollection that the ATCS Official ever made any checks of the financial files at ATCS Finance Office."
21.pdf,"Finance Assistant 1 claimed he had not noticed the footer on them. When ID/OIOS asked why the photocopies of the forged faxes in the UNDP finance file did not have the footer, he disclaimed responsibility for the photocopying.

At the time of these incidents, two photocopying assistants had been working on an ad hoc basis at the finance office and had access to departmental files. Photocopying Assistant 1 was a relative of The Finance Department Supervisor, and Photocopying Assistant 2, was the daughter of Finance Assistant 2. Photocopying Assistant 2 assisted her father periodically without pay. OIOS was informed that the two assistants helped in the preparation of the end of month financial returns, which included retrieving documents from various files, copying them and returning them to the files. Photocopying Assistant 1 was working at the finance office at the relevant time period, but it has not been fully established when Photocopying Assistant 2 worked at the office. No timesheets were kept for either assistant.

Review of procedures at UNON, UNEP Narobi and UNDP Bratislava in connection with payments of this sort showed that
• UNDP Bratislava relies on the authorizing signatures on the faxes and does not verify their authenticity with the agency;
• UNDP Bratislava maintains a sign-in sheet which requires a signature and identity information, but it was kept haphazardly at the time of these incidents;
• UNDP Bratislava disperses cheques upon proof of identity, which is recorded on the back of the cheque, and the payee signs the original cash disbursement voucher upon receipt of the cheque, but the finance office does not retain a copy of the payee’s proof of identification;
• UNDP Bratislava does not maintain a mail log;
• While procedures for reconciling accounts between UNON and UNDP were in place, UNON did not attempt to reconcile the August 2002 UNDP Bratislava account for more than a year after it was purportedly submitted; and
• UNEP Narobi stated that it has had several problems with fraudulent payments by UNDP offices."
24.pdf,"""Emails by the staff member to Mr. Mzumara, OIC, SRO, Lusaka
On 29 January 2003, the staff member wrote an email to Mr. Dickson Mzumara, Officer-in-Charge of the ECA Sub Regional Office in Lusaka, Zambia confirming that he had written to Ambassador Negroponte because he had had a chat with friends who thought that “this was too much of a hot potato”. Mr. Mzumara was also a recipient of a copy of the email that was addressed to Ambassador Negroponte by the staff member.
On the same day, Mr. Mzumara replied through an email to the staff member and concurred with his action of writing to the Ambassador. However, Mr. Mzumara pointed out to the staff member that he was concerned that he, the staff member, was writing to persons outside the Organization. Mr. Mzumara stated that “Yes I thought as much. My concern was you were going out of the system and this is not in line with the Conditions of Service. See what comes out of it”. The staff member responded\ via email dated 29 January 2003 and stated that, “Thanks that I have been told. This question was brought in the JAB in Nairobi. With a few phone calls, the case was shelved. The lady who broadcasted the message is the one who wrote to White House and the Vice Presidents of the USA. If the internal justice system had functioned every thing would have been kept within the system. My hope was Negroponte being in the UN Secretariat would do damage control and get somehow the Boss to address the problem, in the best interest of the Secretary General. The ladies will continue writing to Human Rights Organizations, especially those that are tired. It may not produce immediate results but a lot of damage will be done”. He added that he wrote to the Ambassador “to show the man that dialogue is the best option in life”."""
24.pdf,"""During the course of the investigation, it was revealed that on 26 January 2003, an anonymous person, using the identities of “Hiwot Abebe” sent an email to the President and Vice-President of the United States of America. The email was also addressed to Senator John Kerry and Senator Dodd of the United States Senate. The email had an attachment that was addressed to the Executive Secretary of ECA and highlighted allegations of sexual harassment and rape perpetrated by some senior officials of ECA within the ECA Complex. The title to the attachment was “Crimes of Rape and Maladministration within the compound of ECA”. The document was also copied to the Secretary-General, Ethiopian Foreign Ministry and senior officials in the UN System. 

“Abebe’s” complaint to the American Government was that the Executive Secretary, ECA had failed to take action against staff members who were alleged to have sexually harassed and raped ten women staff members of ECA. “Abebe” was therefore asking the American Government to intervene on behalf of the aggrieved
women.

The above email and the attachment were copied to the staff member and other persons working in the Organization."""
24.pdf,"""INTRODUCTION

The Investigations Division of the Office of Internal Oversight Services (OIOS) received several emails sent to persons external to the Organization, which alleged that wrongdoings were committed at the Economic Commission for Africa (ECA) but no action was taken. One of the authors of the said emails was a staff member of ECA.

Subsequently, an investigation was conducted that revealed that contrary to UN Rules and Regulations, the staff member sent emails to His Excellency, Ambassador John Negroponte of the US Mission to the UN, the President and Vice-President of the United States of America, Senator John Kerry and Senator Dodd of the United States Senate amongst others."""
24.pdf,"""APPLICABLE LAW

Regulation 1.2 (i) of the Staff Regulations provides that “Staff members shall exercise the utmost discretion with regard to all matters of official business. They shall not communicate to any Government, entity, person or any other source any information known to them by reason of their official position that they know or ought to have known has not been made public, except as appropriate in the normal course of their duties or by authorization of the Secretary-General. These obligations do not cease upon separation from service”.

METHODOLOGY

OIOS investigation of this matter entailed obtaining and analyzing relevant documents. Staff members were also interviewed including the staff member.""

BACKGROUND INFORMATION

The staff member worked in ECA at the P5 level. He retired at the end of November 2003 having worked for the Organization for over 25 years."
24.pdf,"""INVESTIGATIVE DETAILS

“Hiwot Abebe” email of 26 January 2003

During the course of the investigation, it was revealed that on 26 January 2003, an anonymous person, using the identities of “Hiwot Abebe” sent an email to the President and Vice-President of the United States of America. The email was also addressed to Senator John Kerry and Senator Dodd of the United States Senate. The email had an attachment that was addressed to the Executive Secretary of ECA and highlighted allegations of sexual harassment and rape perpetrated by some senior officials of ECA within the ECA Complex. The title to the attachment was “Crimes of Rape and Maladministration within the compound of ECA”. The document was also copied to the Secretary-General, Ethiopian Foreign Ministry and senior officials in the UN System."""
26.pdf,"""V. INVESTIGATIVE DETAILS

When interviewed the ACGD Officer told ID/OIOS that Official 2 had asked him to pay miscellaneous expenses and DSA to the participants of the Seychelles conference. He said that ECA had written to UNDP Mauritius, who asked UNDP HQ for authority to transfer funds to Barclays in Seychelles. The ACGD Officer then cashed the funds and disbursed DSA to participants.

He said that on 17 February 1999 he paid the first group of participants at the hotel in the presence of the UNDP Officer. He indicated his payment to participants on the list by placing asterisks against their names. On 18 February 1999 Barclays paid the other participants using the attendance list supplied by the ACGD Officer. Upon receipt of identification from the payees, the bank tellers had the participant sign his/her name on the attendance list and paid the DSA. The ACGD Officer said that he was present when the bank tellers paid the remaining participants and that after the payments were made, the attendance list was returned to him."""
26.pdf,"""V. INVESTIGATIVE DETAILS

The ACGD Officer explained these discrepancies by suggesting that a bank employee might have tampered with the DSA list and forged signatures of participants who did not attend and then pocketed their DSA. He said that he dealt with the manager; a teller and a go-between person and that any one of them could have falsely signed the DSA list. However, he had previously acknowledged that he had witnessed the payments being made by the Bank staff and he had not raised any questions or concerns then or at any time before being questioned by ID/OIOS Investigators on this point. However, he claimed to be surprised by the discrepancies pointed out by ID/OIOS. He then acknowledged that he had received memoranda from Official 4 asking him to account, amongst other things, for the moneys that he had been given for DSA, but he thought that the matter had been settled despite the unaccounted discrepancies."""
27.pdf,"""The evidence adduced for allegation 3 shows that UNEP Staff Member 2 received an appointment with PCAU in May 2000, about a year after s/he began work for the BTF as a consultant. Both s/he and UNEP Staff Member 1 subsequently received high-level contracts. UNEP management advised ID/OIOS that UNEP Staff Member 1 and UNEP Staff Member 2 performed well, which they felt justified their decision to grant them contracts at the high level, although UNEP Staff Member 1 did not have the requisite educational background and UNEP Staff Member 2 had little environmental expertise prior to his consultancy with BTF. This allegation could not be substantiated."""
27.pdf,"""The Investigations Division of the Office of Internal Oversight Services (ID/OIOS) received a report of alleged wrongdoing in the Balkans Task Force (BTF) and in the Post-Conflict Assessment Unit (PCAU) of the United Nations Environment Programme (UNEP). The complaints are against two UNEP Staff Members, and a UNEPIPCAU Consultant, all of whom are from the same country and had previously worked together.

(i) Allegation 1. While working for the BTF and PCAU, UNEP Staff Member 1,UNEP Staff Member 2, and UNEP/PCAU Consultant maintained an ongoing relationship with their former company, thereby creating a conflict of interest.

(ii) Allegation 2. UNEP Staff Member 1 demanded a kickback of fifty percent of consultancy fees paid to experts and these fees were shared with UNEP Staff Member 2 and UNEP/PCAU Consultant."""
27.pdf,"""The evidence adduced for allegation 1 shows that UNEP Staff Member 2, and UNEP/PCAU Consultant did not at any time have a financial relationship with the former company. However, the BTF had a series of contracts and extensions of those contracts with the former company and UNEP Staff Member 1 was a shareholder and senior officer of the former company and, as a sub-contractor of the former company, worked for the BTF. During the time UNEP Staff Member 1 held a consultancy contract with UNEP, the former company had no contractual relationship with UNEP. Although this created the appearance of a conflict of interest, none was established."""
27.pdf,"""During the course of the investigation, ID/OIOS learned that the former company received contracts and extensions of contracts with BTF through UNOPS without competitive bidding, in violation of Financial Regulation 1.2 which states that ""Procurement functions include all actions necessary for the acquisition, by purchase or lease, of property, including products and real property, and of services, including works. The following general principles shall be given due consideration when exercising the procurement functions of the United Nations: (a) Best value for money; (6) fairness, integrity and transparency; (c) Effective international competition; (d) The interest of the United Nations.""

In conclusion, ID/OIOS finds that UNEP and UNOPS departed from United Nations rules and regulations as described above. These irregularities seem not to have been carried out in bad faith because the urgency of the situation necessitated that BTF become operational rapidly. However, once operational, both organisations should have taken measures to rectify the problems identified in the allegations."
31.pdf,"""Until the end of June 2002, responsibility for the administration of the Pristina Airport was entrusted to the Civil Administration Pillar (Pillar II) of UNMIK, including Official 1 and Official 2. Pillar II supervised the Department of Transport and Infrastructure (DOTI) Official 1. The DOTI was later known as the Transport Sector of the UNMIK Directorate of Infrastructure Affairs. DOTI Official 1 left UNMIK at the end of June 2002. DOTI Official 2 was recruited by the DOTI as an international staff member on 31 July 2000 in charge of airport operations, reporting to DOTI Official 1, and continued in this role until 30 September 2001. Engineering expertise was provided by a series of engineers seconded from the armed forces of a United Nations member state, specifically Airport Engineer I, Airport Engineer 2 and Airport Engineer 3, and later by the Consultant from the Consulting Firm.

On 1 July 2002, the responsibility for the administration of the Airport passed from Pillar II to the Kosovo Trust Agency (KTA) and Pillar IV. The Divisional Manager was appointed at the Airport Sector, KTA at the same time. Under him were the PEAP Official and the Air Traffic Control Services (ATCS) Official.

On 1 April 2004 Pristina International Airport, which had until that time been under the jurisdiction of KFOR was handed over to civilian jurisdiction, under ICAO regulations.

It is against this background of change that procurement procedures relating to the following contract have been examined."""
35.pdf,"""Further, in interviews with the ITF, the Airport personnel did not know whether the ICAA was required to follow UNMIK procurement protocols. However, a KTA Internal Audit Department staff member confirmed that no breaches of KTA rules, UNMIK procurement rules, or the above-mentioned agreement could be identified in the purchase of the new policy through the ICAA. The ITF further concludes that UNMIK procurement rules were not applicable to the ICAA as the agreement between UNMIK and the ICAA (for the government of Iceland) is prevailing and does not identify such a requirement.

There is also no evidence of improper collusion or negotiations during the requisitioning process of the insurance policy, nor is no evidence that the process was corrupted.

Finally, the ITF can report that comprehensive policy documents have been provided by the ICAA and the previous insurance policy has been cancelled."""
35.pdf,"Alleged Violations of Procurement Procedures - Insurance (No. 0216104)

In April 2004, the Investigation Task Force (ITF) received information alleging possible violations of UNMIK procurement procedures involving the purchase of insurance cover for the Pristina Airport commencing as of 1 April 2004.

This insurance was obtained by UNMIK with the assistance of the Icelandic Civil Aviation Administration (ICAA). An agreement between UNMIK and the ICAA of 1 April 2004 specified the procedures as follows:

""UNMIK shall, with the assistance of Iceland as described in WPVI-I of ScheduleVI, if requested, obtain and maintain appropriate insurances for the airport, its equipment, facilities, operations, and services from reputable insurers. UNMIK shall, as and when reasonably required by Iceland, provide Iceland with satisfactory evidence of such insurance.

WPV 1-1 reads:

'ICAA will provide assistance in acquiring liability insurance to cover the operation at Pristina Airport. The ICAA will use results from similar activitiesfor acquiring liability insurance for Icelandic Airports (...). Most of the activities will be performed in Iceland (...). '"
